,ID,duration,wav,start,stop,spk_id,present_label
2322001,id01431--FMrrgf0HGGQ--00065_300_600,8.384,/localscratch/voxceleb1/wav/id01431/FMrrgf0HGGQ/00065.wav,48000,96000,id01431,True
1192063,id07446--SCabN4BStCw--00195_0_300,6.528,/localscratch/voxceleb1/wav/id07446/SCabN4BStCw/00195.wav,0,48000,id07446,True
1343286,id11228--Ue-lEY6tcUw--00007_300_600,6.4000625,/localscratch/voxceleb1/wav/id11228/Ue-lEY6tcUw/00007.wav,48000,96000,id11228,True
1475590,id01898--baODQloQBx4--00212_0_300,5.376,/localscratch/voxceleb1/wav/id01898/baODQloQBx4/00212.wav,0,48000,id01898,True
1168024,id10612--bYcuVgZj_TM--00003_300_600,9.7200625,/localscratch/voxceleb1/wav/id10612/bYcuVgZj_TM/00003.wav,48000,96000,id10612,True
710052,id04423--E-mChLO917s--00194_1500_1800,30.528,/localscratch/voxceleb1/wav/id04423/E-mChLO917s/00194.wav,240000,288000,id04423,True
83907,id01057--jGco1cZSaoA--00375_0_300,4.544,/localscratch/voxceleb1/wav/id01057/jGco1cZSaoA/00375.wav,0,48000,id01057,True
1207872,id07805--6aJE4RTPb6k--00005_0_300,6.976,/localscratch/voxceleb1/wav/id07805/6aJE4RTPb6k/00005.wav,0,48000,id07805,True
657118,id06418--qVyB6vtQEB0--00157_0_300,14.336,/localscratch/voxceleb1/wav/id06418/qVyB6vtQEB0/00157.wav,0,48000,id06418,True
946574,id00015--xoaW47PNZcI--00476_600_900,12.608,/localscratch/voxceleb1/wav/id00015/xoaW47PNZcI/00476.wav,96000,144000,id00015,True
813322,id04096--USFrOLcwgE8--00020_0_300,4.928,/localscratch/voxceleb1/wav/id04096/USFrOLcwgE8/00020.wav,0,48000,id04096,True
698336,id06725--ChiPzc8_vFE--00091_0_300,5.056,/localscratch/voxceleb1/wav/id06725/ChiPzc8_vFE/00091.wav,0,48000,id06725,True
1244250,id04985--jW0iBFDJe74--00209_300_600,22.336,/localscratch/voxceleb1/wav/id04985/jW0iBFDJe74/00209.wav,48000,96000,id04985,True
612085,id06663--CBQzHlti2Co--00163_0_300,3.968,/localscratch/voxceleb1/wav/id06663/CBQzHlti2Co/00163.wav,0,48000,id06663,True
1232467,id08611--ONk5VZDE9ME--00038_0_300,4.352,/localscratch/voxceleb1/wav/id08611/ONk5VZDE9ME/00038.wav,0,48000,id08611,True
653068,id06854--Hu7eApHJ-JI--00068_0_300,9.344,/localscratch/voxceleb1/wav/id06854/Hu7eApHJ-JI/00068.wav,0,48000,id06854,True
792986,id07158--9wtoGDD4wYs--00039_300_600,13.504,/localscratch/voxceleb1/wav/id07158/9wtoGDD4wYs/00039.wav,48000,96000,id07158,True
267664,id00650--W-Yo61fLDa4--00215_0_300,4.544,/localscratch/voxceleb1/wav/id00650/W-Yo61fLDa4/00215.wav,0,48000,id00650,True
2015592,id01060--vSaWerPYPH8--00405_0_300,24.576,/localscratch/voxceleb1/wav/id01060/vSaWerPYPH8/00405.wav,0,48000,id01060,True
1677158,id08293--Ostixz-1f1g--00104_0_300,4.416,/localscratch/voxceleb1/wav/id08293/Ostixz-1f1g/00104.wav,0,48000,id08293,True
1036225,id04509--1RSJu_Wi_dI--00020_0_300,4.288,/localscratch/voxceleb1/wav/id04509/1RSJu_Wi_dI/00020.wav,0,48000,id04509,True
757414,id06555--tpLOKWzjfug--00076_0_300,6.784,/localscratch/voxceleb1/wav/id06555/tpLOKWzjfug/00076.wav,0,48000,id06555,True
1348108,id01387--0vZ-KfMWn-w--00001_0_300,23.872,/localscratch/voxceleb1/wav/id01387/0vZ-KfMWn-w/00001.wav,0,48000,id01387,True
2234139,id02905--wiITE-xrMhY--00321_900_1200,12.096,/localscratch/voxceleb1/wav/id02905/wiITE-xrMhY/00321.wav,144000,192000,id02905,True
1064896,id01036--z3fFiIqkeIg--00119_0_300,9.408,/localscratch/voxceleb1/wav/id01036/z3fFiIqkeIg/00119.wav,0,48000,id01036,True
79570,id04257--sUgDKWqoSR8--00428_0_300,11.968,/localscratch/voxceleb1/wav/id04257/sUgDKWqoSR8/00428.wav,0,48000,id04257,True
846848,id07705--D2J0k4i3_0k--00122_1200_1500,63.232,/localscratch/voxceleb1/wav/id07705/D2J0k4i3_0k/00122.wav,192000,240000,id07705,True
1926113,id03625--hlGDj2OYxig--00135_300_600,7.552,/localscratch/voxceleb1/wav/id03625/hlGDj2OYxig/00135.wav,48000,96000,id03625,True
268217,id10959--CuDGPyrjg1M--00001_0_300,4.8000625,/localscratch/voxceleb1/wav/id10959/CuDGPyrjg1M/00001.wav,0,48000,id10959,True
1372624,id02820--8QjOpBrqeO4--00028_600_900,10.432,/localscratch/voxceleb1/wav/id02820/8QjOpBrqeO4/00028.wav,96000,144000,id02820,True
1824278,id09230--svDnFHizfWU--00454_600_900,9.664,/localscratch/voxceleb1/wav/id09230/svDnFHizfWU/00454.wav,96000,144000,id09230,True
439183,id09240--Wo17rvZhtAw--00113_0_300,4.672,/localscratch/voxceleb1/wav/id09240/Wo17rvZhtAw/00113.wav,0,48000,id09240,True
1683564,id01352--Cv8miJxvtl8--00045_0_300,5.248,/localscratch/voxceleb1/wav/id01352/Cv8miJxvtl8/00045.wav,0,48000,id01352,True
1223024,id04588--Fl7LkQA3FDM--00156_0_300,5.504,/localscratch/voxceleb1/wav/id04588/Fl7LkQA3FDM/00156.wav,0,48000,id04588,True
988841,id01683--K674ukL9ecA--00092_0_300,5.248,/localscratch/voxceleb1/wav/id01683/K674ukL9ecA/00092.wav,0,48000,id01683,True
243877,id09145--M5JxVJ6eoEo--00159_0_300,6.784,/localscratch/voxceleb1/wav/id09145/M5JxVJ6eoEo/00159.wav,0,48000,id09145,True
311939,id00741--0oBFo0xH7MM--00005_600_900,27.648,/localscratch/voxceleb1/wav/id00741/0oBFo0xH7MM/00005.wav,96000,144000,id00741,True
249968,id00942--DeQiGoTwO_M--00069_0_300,4.288,/localscratch/voxceleb1/wav/id00942/DeQiGoTwO_M/00069.wav,0,48000,id00942,True
1354204,id01301--6YixRoeI_bQ--00028_300_600,6.592,/localscratch/voxceleb1/wav/id01301/6YixRoeI_bQ/00028.wav,48000,96000,id01301,True
682738,id00681--nX82UK_K2_Q--00151_0_300,17.408,/localscratch/voxceleb1/wav/id00681/nX82UK_K2_Q/00151.wav,0,48000,id00681,True
1492406,id05917--_IRrP67bCQE--00116_1800_2100,25.024,/localscratch/voxceleb1/wav/id05917/_IRrP67bCQE/00116.wav,288000,336000,id05917,True
11246,id02513--ZNsr78b14kk--00006_300_600,6.08,/localscratch/voxceleb1/wav/id02513/ZNsr78b14kk/00006.wav,48000,96000,id02513,True
965907,id10445--RAUKbZZ9iLk--00003_0_300,19.0000625,/localscratch/voxceleb1/wav/id10445/RAUKbZZ9iLk/00003.wav,0,48000,id10445,True
433549,id01436--gW-DHk6IyN4--00040_0_300,4.352,/localscratch/voxceleb1/wav/id01436/gW-DHk6IyN4/00040.wav,0,48000,id01436,True
1573992,id03400--uGrda2Mo6hM--00094_300_600,57.216,/localscratch/voxceleb1/wav/id03400/uGrda2Mo6hM/00094.wav,48000,96000,id03400,True
2291607,id06883--5-CkG8QE350--00054_600_900,10.368,/localscratch/voxceleb1/wav/id06883/5-CkG8QE350/00054.wav,96000,144000,id06883,True
626802,id03493--oNvKcMq4VvI--00417_0_300,10.496,/localscratch/voxceleb1/wav/id03493/oNvKcMq4VvI/00417.wav,0,48000,id03493,True
1108295,id10539--6f7xJ9vFSNo--00001_600_900,20.0400625,/localscratch/voxceleb1/wav/id10539/6f7xJ9vFSNo/00001.wav,96000,144000,id10539,True
1496943,id10357--sr1K9Sx718Y--00005_600_900,15.8400625,/localscratch/voxceleb1/wav/id10357/sr1K9Sx718Y/00005.wav,96000,144000,id10357,True
1781045,id02270--aiEGEGcokUc--00358_2700_3000,30.656,/localscratch/voxceleb1/wav/id02270/aiEGEGcokUc/00358.wav,432000,480000,id02270,True
368095,id10096--5Ciy1E1gYRc--00094_600_900,10.6000625,/localscratch/voxceleb1/wav/id10096/5Ciy1E1gYRc/00094.wav,96000,144000,id10096,True
1604384,id00261--fiy_23kMeGg--00040_0_300,6.208,/localscratch/voxceleb1/wav/id00261/fiy_23kMeGg/00040.wav,0,48000,id00261,True
1482359,id10753--I5BLNV9UVhc--00014_300_600,6.3200625,/localscratch/voxceleb1/wav/id10753/I5BLNV9UVhc/00014.wav,48000,96000,id10753,True
1435764,id02266--Xpg2VMv62AQ--00071_900_1200,23.808,/localscratch/voxceleb1/wav/id02266/Xpg2VMv62AQ/00071.wav,144000,192000,id02266,True
1071744,id01951--pYWM2ZV98KU--00055_0_300,4.16,/localscratch/voxceleb1/wav/id01951/pYWM2ZV98KU/00055.wav,0,48000,id01951,True
508273,id00990--3nPV_-qXKQE--00121_0_300,3.968,/localscratch/voxceleb1/wav/id00990/3nPV_-qXKQE/00121.wav,0,48000,id00990,True
1239004,id01063--eLKXlNhWsa8--00154_0_300,11.84,/localscratch/voxceleb1/wav/id01063/eLKXlNhWsa8/00154.wav,0,48000,id01063,True
2292715,id03939--zMrCQLXKb5M--00447_300_600,8.512,/localscratch/voxceleb1/wav/id03939/zMrCQLXKb5M/00447.wav,48000,96000,id03939,True
426340,id05133--L6T8SKfleCY--00133_900_1200,19.52,/localscratch/voxceleb1/wav/id05133/L6T8SKfleCY/00133.wav,144000,192000,id05133,True
2298720,id02068--WPwbWrplvww--00101_0_300,4.288,/localscratch/voxceleb1/wav/id02068/WPwbWrplvww/00101.wav,0,48000,id02068,True
1375027,id00297--gfXov3KjC-0--00094_0_300,4.416,/localscratch/voxceleb1/wav/id00297/gfXov3KjC-0/00094.wav,0,48000,id00297,True
28578,id06114--_-iOtRlDbzQ--00317_2100_2400,38.208,/localscratch/voxceleb1/wav/id06114/_-iOtRlDbzQ/00317.wav,336000,384000,id06114,True
1758642,id01292--_eoE0ZnvZQ8--00158_900_1200,12.864,/localscratch/voxceleb1/wav/id01292/_eoE0ZnvZQ8/00158.wav,144000,192000,id01292,True
2056887,id05060--ha6AxSAWjx4--00338_0_300,7.04,/localscratch/voxceleb1/wav/id05060/ha6AxSAWjx4/00338.wav,0,48000,id05060,True
2162798,id04995--dTq9GlA9voo--00162_0_300,8.64,/localscratch/voxceleb1/wav/id04995/dTq9GlA9voo/00162.wav,0,48000,id04995,True
2034029,id08546--e0Zc-rRqfr8--00270_0_300,11.904,/localscratch/voxceleb1/wav/id08546/e0Zc-rRqfr8/00270.wav,0,48000,id08546,True
217744,id06997--YxCzDW5Lzp0--00033_0_300,6.464,/localscratch/voxceleb1/wav/id06997/YxCzDW5Lzp0/00033.wav,0,48000,id06997,True
919399,id01788--4bLWzU4we7c--00009_0_300,5.696,/localscratch/voxceleb1/wav/id01788/4bLWzU4we7c/00009.wav,0,48000,id01788,True
332637,id04782--92QPrKe5Rvc--00068_0_300,4.224,/localscratch/voxceleb1/wav/id04782/92QPrKe5Rvc/00068.wav,0,48000,id04782,True
408711,id10670--4_jha21C39E--00001_0_300,4.2400625,/localscratch/voxceleb1/wav/id10670/4_jha21C39E/00001.wav,0,48000,id10670,True
2004835,id03721--OlYQ3gpRg1U--00214_300_600,10.304,/localscratch/voxceleb1/wav/id03721/OlYQ3gpRg1U/00214.wav,48000,96000,id03721,True
1338535,id04855--dmvTzY7DYF0--00407_0_300,10.368,/localscratch/voxceleb1/wav/id04855/dmvTzY7DYF0/00407.wav,0,48000,id04855,True
829384,id04376--9bM2Z3haJug--00049_0_300,15.424,/localscratch/voxceleb1/wav/id04376/9bM2Z3haJug/00049.wav,0,48000,id04376,True
2006943,id10763--v83x-xc-xco--00001_0_300,7.0400625,/localscratch/voxceleb1/wav/id10763/v83x-xc-xco/00001.wav,0,48000,id10763,True
425520,id08245--xCrGVpt9VGc--00077_0_300,4.352,/localscratch/voxceleb1/wav/id08245/xCrGVpt9VGc/00077.wav,0,48000,id08245,True
1290074,id07556--FgFzruCrQOY--00119_0_300,17.088,/localscratch/voxceleb1/wav/id07556/FgFzruCrQOY/00119.wav,0,48000,id07556,True
1981477,id06949--Q9lxoz_5LrM--00099_0_300,5.568,/localscratch/voxceleb1/wav/id06949/Q9lxoz_5LrM/00099.wav,0,48000,id06949,True
2087767,id11182--dAH4YKqqrvc--00038_1800_2100,21.0400625,/localscratch/voxceleb1/wav/id11182/dAH4YKqqrvc/00038.wav,288000,336000,id11182,True
1643342,id04600--noI-74CHpVo--00254_0_300,5.12,/localscratch/voxceleb1/wav/id04600/noI-74CHpVo/00254.wav,0,48000,id04600,True
586473,id03861--CHLTBFSfUbk--00124_0_300,5.696,/localscratch/voxceleb1/wav/id03861/CHLTBFSfUbk/00124.wav,0,48000,id03861,True
243195,id06200--bXt1mM-bQ1o--00085_0_300,8.064,/localscratch/voxceleb1/wav/id06200/bXt1mM-bQ1o/00085.wav,0,48000,id06200,True
834420,id11117--JSzJC7Ytf_8--00010_300_600,9.0400625,/localscratch/voxceleb1/wav/id11117/JSzJC7Ytf_8/00010.wav,48000,96000,id11117,True
2280487,id04590--g8kbgWkvrBA--00187_1200_1500,16.64,/localscratch/voxceleb1/wav/id04590/g8kbgWkvrBA/00187.wav,192000,240000,id04590,True
1126668,id08977--sGvobkU-HlU--00215_0_300,20.608,/localscratch/voxceleb1/wav/id08977/sGvobkU-HlU/00215.wav,0,48000,id08977,True
699443,id08243--YoYmNIM9m-k--00285_300_600,7.616,/localscratch/voxceleb1/wav/id08243/YoYmNIM9m-k/00285.wav,48000,96000,id08243,True
1755986,id03709--NeY8C_RMCLU--00098_300_600,10.56,/localscratch/voxceleb1/wav/id03709/NeY8C_RMCLU/00098.wav,48000,96000,id03709,True
2279195,id10376--mk1UmZlF7XU--00017_0_300,5.5600625,/localscratch/voxceleb1/wav/id10376/mk1UmZlF7XU/00017.wav,0,48000,id10376,True
692704,id01500--_HWikeqGM-4--00088_0_300,8.704,/localscratch/voxceleb1/wav/id01500/_HWikeqGM-4/00088.wav,0,48000,id01500,True
202018,id05938--ButjTn4uN6Y--00044_0_300,4.416,/localscratch/voxceleb1/wav/id05938/ButjTn4uN6Y/00044.wav,0,48000,id05938,True
696783,id03374--qhqG1SGnvNM--00081_0_300,6.976,/localscratch/voxceleb1/wav/id03374/qhqG1SGnvNM/00081.wav,0,48000,id03374,True
322242,id08211--t0K4sg8eB9g--00334_1800_2100,51.392,/localscratch/voxceleb1/wav/id08211/t0K4sg8eB9g/00334.wav,288000,336000,id08211,True
329676,id04163--X4ULXJWrwtQ--00304_900_1200,23.168,/localscratch/voxceleb1/wav/id04163/X4ULXJWrwtQ/00304.wav,144000,192000,id04163,True
2223656,id04869--bolgVHpLqjg--00442_0_300,6.4,/localscratch/voxceleb1/wav/id04869/bolgVHpLqjg/00442.wav,0,48000,id04869,True
125614,id10438--H4pkQL_Md1E--00012_0_300,12.6000625,/localscratch/voxceleb1/wav/id10438/H4pkQL_Md1E/00012.wav,0,48000,id10438,True
277846,id06013--60b5SZuC2SM--00028_300_600,10.624,/localscratch/voxceleb1/wav/id06013/60b5SZuC2SM/00028.wav,48000,96000,id06013,True
2334510,id00894--8J726Hryy_o--00094_900_1200,15.424,/localscratch/voxceleb1/wav/id00894/8J726Hryy_o/00094.wav,144000,192000,id00894,True
166918,id00943--IL0VO51dT70--00294_0_300,4.48,/localscratch/voxceleb1/wav/id00943/IL0VO51dT70/00294.wav,0,48000,id00943,True
2272822,id00522--LAlzWv4s_Nw--00126_0_300,12.992,/localscratch/voxceleb1/wav/id00522/LAlzWv4s_Nw/00126.wav,0,48000,id00522,True
1996091,id10647--EDAJiTMvw5c--00003_300_600,6.8400625,/localscratch/voxceleb1/wav/id10647/EDAJiTMvw5c/00003.wav,48000,96000,id10647,True
1791837,id00022--N1YAkLexq4g--00134_0_300,5.056,/localscratch/voxceleb1/wav/id00022/N1YAkLexq4g/00134.wav,0,48000,id00022,True
94402,id06683--DPeqmMCdCZM--00050_300_600,8.704,/localscratch/voxceleb1/wav/id06683/DPeqmMCdCZM/00050.wav,48000,96000,id06683,True
1328673,id04586--YEu5p9tI_CY--00206_0_300,11.904,/localscratch/voxceleb1/wav/id04586/YEu5p9tI_CY/00206.wav,0,48000,id04586,True
2302442,id00089--EJ0pJTQ3mMM--00031_600_900,9.408,/localscratch/voxceleb1/wav/id00089/EJ0pJTQ3mMM/00031.wav,96000,144000,id00089,True
1689348,id02574--amiWiUBkN74--00293_900_1200,12.352,/localscratch/voxceleb1/wav/id02574/amiWiUBkN74/00293.wav,144000,192000,id02574,True
1365970,id07051--4SQZ7sqaXas--00040_300_600,7.808,/localscratch/voxceleb1/wav/id07051/4SQZ7sqaXas/00040.wav,48000,96000,id07051,True
1631055,id03176--BcVtxx6DYTE--00007_0_300,4.032,/localscratch/voxceleb1/wav/id03176/BcVtxx6DYTE/00007.wav,0,48000,id03176,True
614147,id01614--dhiYrcQPXtw--00383_0_300,12.096,/localscratch/voxceleb1/wav/id01614/dhiYrcQPXtw/00383.wav,0,48000,id01614,True
1680093,id03430--C41vFjLjYwM--00108_0_300,5.056,/localscratch/voxceleb1/wav/id03430/C41vFjLjYwM/00108.wav,0,48000,id03430,True
1218998,id04780--PdojC5hFgsE--00218_300_600,6.912,/localscratch/voxceleb1/wav/id04780/PdojC5hFgsE/00218.wav,48000,96000,id04780,True
143697,id02617--ZkEx6dw45fU--00236_2400_2700,44.864,/localscratch/voxceleb1/wav/id02617/ZkEx6dw45fU/00236.wav,384000,432000,id02617,True
1448042,id08028--2cKTtI0V1qs--00012_300_600,10.368,/localscratch/voxceleb1/wav/id08028/2cKTtI0V1qs/00012.wav,48000,96000,id08028,True
1049963,id07334--82YaEj9tQFg--00028_1200_1500,34.816,/localscratch/voxceleb1/wav/id07334/82YaEj9tQFg/00028.wav,192000,240000,id07334,True
1046764,id10081--2jcYRBByUWk--00002_0_300,7.6400625,/localscratch/voxceleb1/wav/id10081/2jcYRBByUWk/00002.wav,0,48000,id10081,True
12724,id10238--gsbtM5qKqUM--00002_1800_2100,21.2800625,/localscratch/voxceleb1/wav/id10238/gsbtM5qKqUM/00002.wav,288000,336000,id10238,True
1201946,id04427--mxFyc1TjwKc--00332_0_300,35.456,/localscratch/voxceleb1/wav/id04427/mxFyc1TjwKc/00332.wav,0,48000,id04427,True
699922,id06449--zScwTcs1qTg--00243_300_600,9.536,/localscratch/voxceleb1/wav/id06449/zScwTcs1qTg/00243.wav,48000,96000,id06449,True
133089,id02116--pyWoIFoj36Q--00356_300_600,7.424,/localscratch/voxceleb1/wav/id02116/pyWoIFoj36Q/00356.wav,48000,96000,id02116,True
1129584,id08398--fK_Eyx_jL-c--00099_1500_1800,20.224,/localscratch/voxceleb1/wav/id08398/fK_Eyx_jL-c/00099.wav,240000,288000,id08398,True
1884553,id07442--1alojt5HRYo--00009_300_600,11.008,/localscratch/voxceleb1/wav/id07442/1alojt5HRYo/00009.wav,48000,96000,id07442,True
2188238,id00068--hK7UCN-X6_I--00033_0_300,25.088,/localscratch/voxceleb1/wav/id00068/hK7UCN-X6_I/00033.wav,0,48000,id00068,True
868883,id09147--Pt2NGVRH1Ks--00143_300_600,6.656,/localscratch/voxceleb1/wav/id09147/Pt2NGVRH1Ks/00143.wav,48000,96000,id09147,True
1436403,id05584--Ltmmo8d5uak--00118_300_600,7.808,/localscratch/voxceleb1/wav/id05584/Ltmmo8d5uak/00118.wav,48000,96000,id05584,True
2139031,id01524--6St5aDKZdv0--00008_1200_1500,15.104,/localscratch/voxceleb1/wav/id01524/6St5aDKZdv0/00008.wav,192000,240000,id01524,True
560594,id02304--i8QMmrsDatI--00181_0_300,7.296,/localscratch/voxceleb1/wav/id02304/i8QMmrsDatI/00181.wav,0,48000,id02304,True
1634112,id01678--U5RQsx_r8pk--00230_2400_2700,59.392,/localscratch/voxceleb1/wav/id01678/U5RQsx_r8pk/00230.wav,384000,432000,id01678,True
1481787,id01683--hEZXta4KVHI--00226_0_300,5.888,/localscratch/voxceleb1/wav/id01683/hEZXta4KVHI/00226.wav,0,48000,id01683,True
604046,id06875--ugXeXsGEBR0--00304_600_900,11.328,/localscratch/voxceleb1/wav/id06875/ugXeXsGEBR0/00304.wav,96000,144000,id06875,True
1735607,id05980--uNYtRooujYM--00173_600_900,9.792,/localscratch/voxceleb1/wav/id05980/uNYtRooujYM/00173.wav,96000,144000,id05980,True
1300307,id06138--XdHADQwOWIo--00337_300_600,29.952,/localscratch/voxceleb1/wav/id06138/XdHADQwOWIo/00337.wav,48000,96000,id06138,True
1591282,id07954--SzHcF2M219I--00345_0_300,4.864,/localscratch/voxceleb1/wav/id07954/SzHcF2M219I/00345.wav,0,48000,id07954,True
1149601,id07253--9B-Ki8Pt54A--00049_300_600,21.376,/localscratch/voxceleb1/wav/id07253/9B-Ki8Pt54A/00049.wav,48000,96000,id07253,True
1336892,id00353--lmziP-TJZCg--00344_1200_1500,23.872,/localscratch/voxceleb1/wav/id00353/lmziP-TJZCg/00344.wav,192000,240000,id00353,True
2058531,id04427--tn_Va3p_Uec--00358_300_600,12.224,/localscratch/voxceleb1/wav/id04427/tn_Va3p_Uec/00358.wav,48000,96000,id04427,True
74578,id10799--uc7n72g9p_k--00001_300_600,6.5200625,/localscratch/voxceleb1/wav/id10799/uc7n72g9p_k/00001.wav,48000,96000,id10799,True
261021,id08771--SY8_6LwJh9I--00092_0_300,11.328,/localscratch/voxceleb1/wav/id08771/SY8_6LwJh9I/00092.wav,0,48000,id08771,True
1980996,id05830--t5SCYtYiAjQ--00220_600_900,12.608,/localscratch/voxceleb1/wav/id05830/t5SCYtYiAjQ/00220.wav,96000,144000,id05830,True
518271,id07990--3P_zeP0MeGk--00014_900_1200,19.968,/localscratch/voxceleb1/wav/id07990/3P_zeP0MeGk/00014.wav,144000,192000,id07990,True
1665052,id06583--UC7d4mu9SC0--00153_1200_1500,22.464,/localscratch/voxceleb1/wav/id06583/UC7d4mu9SC0/00153.wav,192000,240000,id06583,True
821864,id08705--HZ-a3gPIfcg--00062_0_300,6.08,/localscratch/voxceleb1/wav/id08705/HZ-a3gPIfcg/00062.wav,0,48000,id08705,True
1160951,id04993--veOhjysCJYA--00155_300_600,11.84,/localscratch/voxceleb1/wav/id04993/veOhjysCJYA/00155.wav,48000,96000,id04993,True
365442,id05038--yqjCkLldRGA--00301_0_300,6.528,/localscratch/voxceleb1/wav/id05038/yqjCkLldRGA/00301.wav,0,48000,id05038,True
1186655,id01163--QTHr-dw_FvM--00225_900_1200,20.288,/localscratch/voxceleb1/wav/id01163/QTHr-dw_FvM/00225.wav,144000,192000,id01163,True
1826693,id04441--6GrwjcFzNo4--00005_300_600,10.752,/localscratch/voxceleb1/wav/id04441/6GrwjcFzNo4/00005.wav,48000,96000,id04441,True
770541,id07666--mZ4zfPxFJII--00240_300_600,6.976,/localscratch/voxceleb1/wav/id07666/mZ4zfPxFJII/00240.wav,48000,96000,id07666,True
1125393,id04204--QGms1Z3gg30--00170_0_300,8.0,/localscratch/voxceleb1/wav/id04204/QGms1Z3gg30/00170.wav,0,48000,id04204,True
128623,id03258--vVJjF2387ec--00424_0_300,5.312,/localscratch/voxceleb1/wav/id03258/vVJjF2387ec/00424.wav,0,48000,id03258,True
1435807,id07625--2vc5812LlKE--00028_0_300,3.968,/localscratch/voxceleb1/wav/id07625/2vc5812LlKE/00028.wav,0,48000,id07625,True
927254,id01403--edN7X45YDwc--00103_0_300,6.912,/localscratch/voxceleb1/wav/id01403/edN7X45YDwc/00103.wav,0,48000,id01403,True
2029862,id06336--BEMWG4ILYxo--00064_0_300,4.224,/localscratch/voxceleb1/wav/id06336/BEMWG4ILYxo/00064.wav,0,48000,id06336,True
1053740,id03210--pEGNr4Hom3U--00231_0_300,4.736,/localscratch/voxceleb1/wav/id03210/pEGNr4Hom3U/00231.wav,0,48000,id03210,True
1826,id09155--h-0ckiPr6jQ--00218_1500_1800,19.2,/localscratch/voxceleb1/wav/id09155/h-0ckiPr6jQ/00218.wav,240000,288000,id09155,True
1197279,id02052--siXRK_xFAxE--00291_0_300,6.144,/localscratch/voxceleb1/wav/id02052/siXRK_xFAxE/00291.wav,0,48000,id02052,True
1844444,id06450--vAb52imp-2U--00223_300_600,6.016,/localscratch/voxceleb1/wav/id06450/vAb52imp-2U/00223.wav,48000,96000,id06450,True
748843,id06706--x6zcJe3Fgvc--00144_900_1200,15.04,/localscratch/voxceleb1/wav/id06706/x6zcJe3Fgvc/00144.wav,144000,192000,id06706,True
